"approved_symbol"	"previous_symbols"	"alias_symbols"	"LNCipedia"	"all"
"A4GNT"	""	"alpha4GnT"	""	"A4GNT,,alpha4GnT,"
"AAAS"	""	""	""	"AAAS,,,"
"AADAC"	""	"DAC, CES5A1"	""	"AADAC,,DAC, CES5A1,"
"AADACL2"	""	"MGC72001"	""	"AADACL2,,MGC72001,"
"AADACL2-AS1"	""	""	"AADACL2-AS1"	"AADACL2-AS1,,,AADACL2-AS1"
"AADACP1"	""	""	""	"AADACP1,,,"
"AANAT"	""	"SNAT"	""	"AANAT,,SNAT,"
"AARD"	"C8orf85"	"LOC441376"	""	"AARD,C8orf85,LOC441376,"
"ABCA2"	"ABC2"	""	""	"ABCA2,ABC2,,"
"ABCB10"	""	"EST20237, M-ABC2, MTABC2"	""	"ABCB10,,EST20237, M-ABC2, MTABC2,"
"ABCC5"	""	"MRP5, SMRP, EST277145, MOAT-C"	""	"ABCC5,,MRP5, SMRP, EST277145, MOAT-C,"
"ABCC5-AS1"	""	""	"ABCC5-AS1"	"ABCC5-AS1,,,ABCC5-AS1"
"ABCF3"	""	"EST201864"	""	"ABCF3,,EST201864,"
"ABHD8"	""	"FLJ11743, MGC14280, MGC2512"	""	"ABHD8,,FLJ11743, MGC14280, MGC2512,"
"ABHD16B"	"C20orf135"	"dJ591C20.1"	""	"ABHD16B,C20orf135,dJ591C20.1,"
"ABL2"	"ABLL"	"ARG"	""	"ABL2,ABLL,ARG,"
"ABRA"	""	"STARS"	""	"ABRA,,STARS,"
"ACAP2"	"CENTB2"	"KIAA0041, CNT-B2"	""	"ACAP2,CENTB2,KIAA0041, CNT-B2,"
"ACBD3"	"GOLPH1, GOCAP1"	"GCP60, PAP7"	""	"ACBD3,GOLPH1, GOCAP1,GCP60, PAP7,"
"ACBD6"	""	"MGC2404"	""	"ACBD6,,MGC2404,"
"ACER3"	"PHCA"	"FLJ11238, APHC"	""	"ACER3,PHCA,FLJ11238, APHC,"
"ACKR1"	"FY, DARC"	"CCBP1, GPD, Dfy, CD234"	""	"ACKR1,FY, DARC,CCBP1, GPD, Dfy, CD234,"
"ACOD1"	"IRG1"	"CAD"	""	"ACOD1,IRG1,CAD,"
"ACOT8"	"PTE1"	"hACTE-III, hTE, PTE-2, NAP1"	""	"ACOT8,PTE1,hACTE-III, hTE, PTE-2, NAP1,"
"ACOX1"	""	"PALMCOX"	""	"ACOX1,,PALMCOX,"
"ACP5"	""	"TRAP, HPAP"	""	"ACP5,,TRAP, HPAP,"
"ACP6"	""	"LPAP, ACPL1"	""	"ACP6,,LPAP, ACPL1,"
"ACP7"	""	"FLJ16165, PAPL1, PAPL"	""	"ACP7,,FLJ16165, PAPL1, PAPL,"
"ACR"	""	""	""	"ACR,,,"
"ACRBP"	""	"SP32, OY-TES-1, CT23"	""	"ACRBP,,SP32, OY-TES-1, CT23,"
"ACTA1"	"ACTA"	"NEM3"	""	"ACTA1,ACTA,NEM3,"
"ACTG1"	"ACTG, DFNA20, DFNA26"	""	""	"ACTG1,ACTG, DFNA20, DFNA26,,"
"ACTG1P25"	""	"AGPG"	""	"ACTG1P25,,AGPG,"
"ACTL6A"	""	"Actl6, BAF53A, Arp4, Baf53a, INO80K, SMARCN1"	""	"ACTL6A,,Actl6, BAF53A, Arp4, Baf53a, INO80K, SMARCN1,"
"ACTL9"	""	"MGC33407"	""	"ACTL9,,MGC33407,"
"ACTL10"	"C20orf134"	""	""	"ACTL10,C20orf134,,"
"ACTN2"	""	""	""	"ACTN2,,,"
"ACTN4"	"FSGS1"	""	""	"ACTN4,FSGS1,,"
"ACTRT3"	""	"ARPM1"	""	"ACTRT3,,ARPM1,"
"ACY3"	""	"HCBP1, MGC9740, ACY-3"	""	"ACY3,,HCBP1, MGC9740, ACY-3,"
"ADA"	""	"ADA1"	""	"ADA,,ADA1,"
"ADAM2"	"FTNB"	"PH-30b, PH30, CT15"	""	"ADAM2,FTNB,PH-30b, PH30, CT15,"
"ADAM3A"	"CYRN1"	"ADAM3, tMDCI"	""	"ADAM3A,CYRN1,ADAM3, tMDCI,"
"ADAM5"	"ADAM5P"	"tMDCII"	""	"ADAM5,ADAM5P,tMDCII,"
"ADAM7"	""	"GP-83, EAPI"	""	"ADAM7,,GP-83, EAPI,"
"ADAM9"	"CORD9"	"MDC9, KIAA0021, MCMP, Mltng"	""	"ADAM9,CORD9,MDC9, KIAA0021, MCMP, Mltng,"
"ADAM15"	""	"MDC15"	""	"ADAM15,,MDC15,"
"ADAM17"	"TACE"	"cSVP, CD156B"	""	"ADAM17,TACE,cSVP, CD156B,"
"ADAM18"	""	"tMDCIII, ADAM27"	""	"ADAM18,,tMDCIII, ADAM27,"
"ADAM28"	""	"eMDCII, MDC-Lm, MDC-Ls, ADAM23"	""	"ADAM28,,eMDCII, MDC-Lm, MDC-Ls, ADAM23,"
"ADAM32"	""	""	""	"ADAM32,,,"
"ADAMDEC1"	""	"M12.219"	""	"ADAMDEC1,,M12.219,"
